20.1,22.2,22.2,22.5,21.9,16.2,16.5,22.5,23.7,21.6,22.2,23.7
18.6,20.7,20.7,21.3,20.4,15.9,15.9,20.7,22.2,20.1,20.7,22.8
18.3,20.4,20.1,21,20.4,16.5,15,20.7,21.6,20.1,20.1,21.9
20.7,20.1,20.4,20.1,19.5,16.2,15.3,20.1,21.3,19.8,19.5,20.1
18,18.6,18.9,18.9,18.9,15.9,16.5,18.3,18.3,18.3,18.3,19.5
16.2,17.4,17.1,16.5,17.7,16.2,16.5,16.2,16.8,17.4,17.7,18
16.2,16.8,17.4,16.5,17.4,15.9,15.6,15.6,15.6,16.8,17.1,17.7
15.9,16.8,16.5,17.4,17.7,16.2,15.9,16.2,16.5,16.5,16.8,17.7
15.6,17.1,16.2,18,17.4,15.6,16.8,17.1,16.8,16.5,16.8,17.4
15.6,16.8,16.5,17.4,17.4,15.9,16.2,17.1,16.5,16.8,16.8,17.7
15.9,17.7,16.5,18,17.7,16.2,16.8,17.4,17.1,16.5,16.5,16.8
15.3,17.4,16.2,17.1,17.7,15.9,16.5,17.7,16.5,17.1,17.4,17.4
15.9,17.1,16.5,17.4,17.1,15.9,15.9,17.4,16.8,17.1,17.1,16.8
15.3,17.1,17.1,17.7,17.1,15.3,15.6,17.4,16.5,16.8,16.8,16.5
15.9,17.1,16.2,17.7,16.2,15,15.9,17.4,16.8,17.1,16.8,16.8
15.6,17.7,16.5,17.4,16.5,16.2,15.9,17.1,16.2,16.8,16.8,17.1
15.6,16.5,15.3,17.1,16.2,15.3,15.6,16.5,16.2,15.9,16.8,16.2
15.9,16.2,15,16.8,16.2,15,15,15.6,15.9,16.2,15.6,16.2
15.6,16.5,15,16.5,16.2,15,15.9,16.2,16.2,15.6,15,15.9
